,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
8290,0,1004836,112.0,Fannafold,Fannafold,159.0,,POINT (363847 406936),64.13817703,-21.79716258,159,Reykjavík,"Fannafold 159, 112"
4257,0,1004720,112.0,Fannafold,Fannafold,16.0,,POINT (363563 406757),64.13646018,-21.80282658,16,Reykjavík,"Fannafold 16, 112"
75906,0,1004837,112.0,Fannafold,Fannafold,160.0,,POINT (364028 406852),64.13749605,-21.79337271,160,Reykjavík,"Fannafold 160, 112"
8291,0,1004838,112.0,Fannafold,Fannafold,161.0,,POINT (363855 406956),64.13835943,-21.79701661,161,Reykjavík,"Fannafold 161, 112"
75907,0,1004839,112.0,Fannafold,Fannafold,162.0,,POINT (364049 406837),64.13736995,-21.79292824,162,Reykjavík,"Fannafold 162, 112"
8292,0,1004840,112.0,Fannafold,Fannafold,163.0,,POINT (363871 406974),64.13852708,-21.79670468,163,Reykjavík,"Fannafold 163, 112"
75908,0,1004841,112.0,Fannafold,Fannafold,164.0,,POINT (364070 406832),64.13733347,-21.79249286,164,Reykjavík,"Fannafold 164, 112"
8293,0,1004842,112.0,Fannafold,Fannafold,165.0,,POINT (363882 406991),64.13868379,-21.79649442,165,Reykjavík,"Fannafold 165, 112"
75909,0,1004843,112.0,Fannafold,Fannafold,166.0,,POINT (364091 406850),64.13750309,-21.79207832,166,Reykjavík,"Fannafold 166, 112"
8294,0,1004844,112.0,Fannafold,Fannafold,167.0,,POINT (363908 407003),64.13880163,-21.79597185,167,Reykjavík,"Fannafold 167, 112"
75910,0,1004845,112.0,Fannafold,Fannafold,168.0,,POINT (364070 406873),64.13770088,-21.79253004,168,Reykjavík,"Fannafold 168, 112"
8295,0,1004846,112.0,Fannafold,Fannafold,169.0,,POINT (363922 407015),64.13891472,-21.7956955,169,Reykjavík,"Fannafold 169, 112"
4258,0,1004721,112.0,Fannafold,Fannafold,17.0,,POINT (363429 406813),64.1369087,-21.80562675,17,Reykjavík,"Fannafold 17, 112"
75911,0,1004847,112.0,Fannafold,Fannafold,170.0,,POINT (364049.713636 406891.204545),64.13785598,-21.79296277,170a,Reykjavík,"Fannafold 170, 112"
8296,0,1004848,112.0,Fannafold,Fannafold,171.0,,POINT (363948 406993),64.13872788,-21.79514206,171,Reykjavík,"Fannafold 171, 112"
8297,0,1004849,112.0,Fannafold,Fannafold,172.0,,POINT (364070 406909),64.13802348,-21.79256269,172,Reykjavík,"Fannafold 172, 112"
75912,0,1004850,112.0,Fannafold,Fannafold,173.0,,POINT (363925 406969),64.13850369,-21.79559218,173,Reykjavík,"Fannafold 173, 112"
8298,0,1004851,112.0,Fannafold,Fannafold,174.0,,POINT (364091 406895),64.13790634,-21.79211913,174,Reykjavík,"Fannafold 174, 112"
75913,0,1004852,112.0,Fannafold,Fannafold,175.0,,POINT (363906 406956),64.13837966,-21.79597021,175,Reykjavík,"Fannafold 175, 112"
8299,0,1004853,112.0,Fannafold,Fannafold,176.0,,POINT (364110 406879),64.13777049,-21.79171479,176,Reykjavík,"Fannafold 176, 112"
