,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
57479,0,1000751,161.0,2.Gata v/Rauðavatn,2.Gata v/Rauðavatn,29.0,,POINT (365037.809090909 404228.736363636),64.11438661,-21.77029401,29,Reykjavík,"2.Gata v/Rauðavatn 29, 161"
29096,0,1000768,161.0,3.Gata v/Rauðavatn,3.Gata v/Rauðavatn,4.0,,POINT (365099.684090909 403801.156818182),64.11057921,-21.76864142,4,Reykjavík,"3.Gata v/Rauðavatn 4, 161"
57480,0,1000770,161.0,3.Gata v/Rauðavatn,3.Gata v/Rauðavatn,6.0,,POINT (365110.338636364 403844.743181818),64.11097399,-21.76846218,6,Reykjavík,"3.Gata v/Rauðavatn 6, 161"
29099,0,1000785,161.0,4.Gata v/Rauðavatn,4.Gata v/Rauðavatn,1.0,,POINT (365196.568181818 403737.229545455),64.11004437,-21.76659817,1,Reykjavík,"4.Gata v/Rauðavatn 1, 161"
29098,0,1000792,161.0,5.Gata v/Rauðavatn,5.Gata v/Rauðavatn,1.0,,POINT (365271.609090909 403712.045454545),64.10984813,-21.76503746,1,Reykjavík,"5.Gata v/Rauðavatn 1, 161"
57481,0,1000791,161.0,5.Gata v/Rauðavatn,5.Gata v/Rauðavatn,2.0,,POINT (365299.697727273 403701.390909091),64.10976366,-21.76445217,2,Reykjavík,"5.Gata v/Rauðavatn 2, 161"
74052,0,1140734,161.0,A gata,A götu,1.0,,POINT (366736 402386),64.09853589,-21.7338452,1,Reykjavík,"A gata 1, 161"
74048,0,1140743,161.0,A gata,A götu,10.0,,POINT (366796 402467),64.09928504,-21.73268765,10,Reykjavík,"A gata 10, 161"
74047,0,1140744,161.0,A gata,A götu,11.0,,POINT (366791 402495),64.09953402,-21.73281491,11,Reykjavík,"A gata 11, 161"
11413,0,1140745,161.0,A gata,A götu,12.0,,POINT (366816 402488),64.09948098,-21.73229647,12,Reykjavík,"A gata 12, 161"
11412,0,1140746,161.0,A gata,A götu,13.0,,POINT (366804 402519),64.09975414,-21.73256982,13,Reykjavík,"A gata 13, 161"
106768,0,1140747,161.0,A gata,A götu,14.0,,POINT (366827 402512),64.09970032,-21.73209235,14,Reykjavík,"A gata 14, 161"
74046,0,1140748,161.0,A gata,A götu,15.0,,POINT (366815 402541),64.09995556,-21.73236392,15,Reykjavík,"A gata 15, 161"
11411,0,1140749,161.0,A gata,A götu,16.0,,POINT (366832 402534),64.09989942,-21.73200939,16,Reykjavík,"A gata 16, 161"
74045,0,1140750,161.0,A gata,A götu,17.0,,POINT (366827 402563),64.10015736,-21.73213754,17,Reykjavík,"A gata 17, 161"
11410,0,1140751,161.0,A gata,A götu,18.0,,POINT (366845 402555),64.10009265,-21.73176163,18,Reykjavík,"A gata 18, 161"
11409,0,1140752,161.0,A gata,A götu,19.0,,POINT (366838 402591),64.10041255,-21.73193695,19,Reykjavík,"A gata 19, 161"
11416,0,1140735,161.0,A gata,A götu,2.0,,POINT (366754 402376),64.09845325,-21.73346754,2,Reykjavík,"A gata 2, 161"
74044,0,1140753,161.0,A gata,A götu,20.0,,POINT (366856 402577),64.10029406,-21.73155572,20,Reykjavík,"A gata 20, 161"
74043,0,1140754,161.0,A gata,A götu,21.0,,POINT (366845 402609),64.10057657,-21.73180947,21,Reykjavík,"A gata 21, 161"
113648,0,1140755,161.0,A gata,A götu,22.0,,POINT (366868 402599),64.10049587,-21.73132933,22,Reykjavík,"A gata 22, 161"
11408,0,1140756,161.0,A gata,A götu,23.0,,POINT (366860 402633),64.10079746,-21.73152337,23,Reykjavík,"A gata 23, 161"
74042,0,1140757,161.0,A gata,A götu,24.0,,POINT (366879 402623),64.10071521,-21.73112519,24,Reykjavík,"A gata 24, 161"
74051,0,1140736,161.0,A gata,A götu,3.0,,POINT (366746 402410),64.09875484,-21.73366159,3,Reykjavík,"A gata 3, 161"
107210,0,1140737,161.0,A gata,A götu,4.0,,POINT (366763 402400),64.09867182,-21.73330441,4,Reykjavík,"A gata 4, 161"
11415,0,1140738,161.0,A gata,A götu,5.0,,POINT (366759 402428),64.09892119,-21.73341119,5,Reykjavík,"A gata 5, 161"
74050,0,1140739,161.0,A gata,A götu,6.0,,POINT (366780 402419),64.09884868,-21.73297294,6,Reykjavík,"A gata 6, 161"
74049,0,1140740,161.0,A gata,A götu,7.0,,POINT (366774 402454),64.09916001,-21.73312689,7,Reykjavík,"A gata 7, 161"
11414,0,1140741,161.0,A gata,A götu,8.0,,POINT (366787 402443),64.09906647,-21.73285078,8,Reykjavík,"A gata 8, 161"
113647,0,1140742,161.0,A gata,A götu,9.0,,POINT (366779 402472),64.09932325,-21.7330404,9,Reykjavík,"A gata 9, 161"
64219,0,1000800,110.0,A-Tröð,A-Tröð,10.0,,POINT (364104 402805),64.10125993,-21.78814893,10,Reykjavík,"A-Tröð 10, 110"
10354,0,1000796,110.0,A-Tröð,A-Tröð,2.0,,POINT (364043 402716),64.10043825,-21.78931832,2,Reykjavík,"A-Tröð 2, 110"
10355,0,1000797,110.0,A-Tröð,A-Tröð,4.0,,POINT (364058 402740),64.10065925,-21.78903268,4,Reykjavík,"A-Tröð 4, 110"
64218,0,1000798,110.0,A-Tröð,A-Tröð,6.0,,POINT (364074 402761),64.10085377,-21.78872384,6,Reykjavík,"A-Tröð 6, 110"
10356,0,1000799,110.0,A-Tröð,A-Tröð,8.0,,POINT (364089 402783),64.10105685,-21.78843639,8,Reykjavík,"A-Tröð 8, 110"
59762,0,1085613,107.0,Aflagrandi,Aflagranda,1.0,,POINT (355950.545454545 408387.911363636),64.14796272,-21.96055479,1,Reykjavík,"Aflagrandi 1, 107"
64367,0,1000853,107.0,Aflagrandi,Aflagranda,10.0,,POINT (355885.631818182 408527.638636364),64.14918744,-21.96202142,10,Reykjavík,"Aflagrandi 10, 107"
10373,0,1000854,107.0,Aflagrandi,Aflagranda,11.0,,POINT (355918.731818182 408432.638636364),64.14835013,-21.9612507,11,Reykjavík,"Aflagrandi 11, 107"
64368,0,1000855,107.0,Aflagrandi,Aflagranda,12.0,,POINT (355876.356818182 408524.365909091),64.14915422,-21.96220862,12,Reykjavík,"Aflagrandi 12, 107"
10374,0,1000856,107.0,Aflagrandi,Aflagranda,13.0,,POINT (355913.638636364 408439.545454545),64.14840987,-21.96136187,13,Reykjavík,"Aflagrandi 13, 107"
64369,0,1000857,107.0,Aflagrandi,Aflagranda,14.0,,POINT (355868.084090909 408521.456818182),64.14912468,-21.9623756,14,Reykjavík,"Aflagrandi 14, 107"
10375,0,1000858,107.0,Aflagrandi,Aflagranda,15.0,,POINT (355903.184090909 408450.638636364),64.14850488,-21.9615871,15,Reykjavík,"Aflagrandi 15, 107"
64370,0,1000859,107.0,Aflagrandi,Aflagranda,16.0,,POINT (355859.177272727 408518.543181818),64.14909483,-21.9625556,16,Reykjavík,"Aflagrandi 16, 107"
10376,0,1000860,107.0,Aflagrandi,Aflagranda,17.0,,POINT (355898.184090909 408457.365909091),64.14856306,-21.96169619,17,Reykjavík,"Aflagrandi 17, 107"
64371,0,1000861,107.0,Aflagrandi,Aflagranda,18.0,,POINT (355851.177272727 408515.545454545),64.14906461,-21.9627169,18,Reykjavík,"Aflagrandi 18, 107"
10377,0,1000862,107.0,Aflagrandi,Aflagranda,19.0,,POINT (355892.365909091 408463.272727273),64.14861354,-21.96182128,19,Reykjavík,"Aflagrandi 19, 107"
10369,0,1000845,107.0,Aflagrandi,Aflagranda,2.0,,POINT (355891 408501),64.14895101,-21.96188561,2,Reykjavík,"Aflagrandi 2, 107"
64372,0,1000863,107.0,Aflagrandi,Aflagranda,20.0,,POINT (355835.906818182 408510.361363636),64.14901174,-21.9630253,20,Reykjavík,"Aflagrandi 20, 107"
10378,0,1000864,107.0,Aflagrandi,Aflagranda,21.0,,POINT (355913 408379),64.14786711,-21.96131673,21,Reykjavík,"Aflagrandi 21, 107"
64373,0,1000865,107.0,Aflagrandi,Aflagranda,22.0,,POINT (355826.093181818 408506.545454545),64.14897342,-21.96322303,22,Reykjavík,"Aflagrandi 22, 107"
10379,0,1000866,107.0,Aflagrandi,Aflagranda,23.0,,POINT (355900 408400),64.14804981,-21.96160373,23,Reykjavík,"Aflagrandi 23, 107"
64374,0,1000867,107.0,Aflagrandi,Aflagranda,24.0,,POINT (355817.906818182 408503.365909091),64.14894149,-21.96338798,24,Reykjavík,"Aflagrandi 24, 107"
10380,0,1000868,107.0,Aflagrandi,Aflagranda,25.0,,POINT (355894.638636364 408407),64.14811028,-21.96172049,25,Reykjavík,"Aflagrandi 25, 107"
10381,0,1000869,107.0,Aflagrandi,Aflagranda,26.0,,POINT (355808 408499.911363636),64.14890637,-21.96358797,26,Reykjavík,"Aflagrandi 26, 107"
64375,0,1000870,107.0,Aflagrandi,Aflagranda,27.0,,POINT (355885.818181818 408418.454545455),64.14820921,-21.96191253,27,Reykjavík,"Aflagrandi 27, 107"
10382,0,1000871,107.0,Aflagrandi,Aflagranda,28.0,,POINT (355817.818181818 408474.365909091),64.14868161,-21.96336188,28,Reykjavík,"Aflagrandi 28, 107"
64376,0,1000872,107.0,Aflagrandi,Aflagranda,29.0,,POINT (355880.365909091 408424.545454545),64.14826149,-21.96203028,29,Reykjavík,"Aflagrandi 29, 107"
14838,0,1085614,107.0,Aflagrandi,Aflagranda,3.0,,POINT (355947 408398),64.14805163,-21.96063725,3,Reykjavík,"Aflagrandi 3, 107"
10383,0,1000873,107.0,Aflagrandi,Aflagranda,30.0,,POINT (355826.906818182 408477.454545455),64.1487131,-21.96317833,30,Reykjavík,"Aflagrandi 30, 107"
64377,0,1000874,107.0,Aflagrandi,Aflagranda,31.0,,POINT (355873.638636364 408431.272727273),64.14831894,-21.96217482,31,Reykjavík,"Aflagrandi 31, 107"
10384,0,1000875,107.0,Aflagrandi,Aflagranda,32.0,,POINT (355836.184090909 408480.634090909),64.14874549,-21.962991,32,Reykjavík,"Aflagrandi 32, 107"
64378,0,1000876,107.0,Aflagrandi,Aflagranda,33.0,,POINT (355869 408438),64.14837727,-21.96227649,33,Reykjavík,"Aflagrandi 33, 107"
10385,0,1000877,107.0,Aflagrandi,Aflagranda,34.0,,POINT (355845.454545455 408483.722727273),64.14877706,-21.96280371,34,Reykjavík,"Aflagrandi 34, 107"
64379,0,1000878,107.0,Aflagrandi,Aflagranda,35.0,,POINT (355881.093181818 408366),64.14773722,-21.96195902,35,Reykjavík,"Aflagrandi 35, 107"
10386,0,1000879,107.0,Aflagrandi,Aflagranda,36.0,,POINT (355862 408492),64.14885818,-21.96247212,36,Reykjavík,"Aflagrandi 36, 107"
64380,0,1000880,107.0,Aflagrandi,Aflagranda,37.0,,POINT (355868.456818182 408387.911363636),64.14792824,-21.96223943,37,Reykjavík,"Aflagrandi 37, 107"
10387,0,1000881,107.0,Aflagrandi,Aflagranda,38.0,,POINT (355876 408480),64.14875654,-21.96217325,38,Reykjavík,"Aflagrandi 38, 107"
64381,0,1000882,107.0,Aflagrandi,Aflagranda,39.0,,POINT (355863.093181818 408394),64.14798054,-21.96235537,39,Reykjavík,"Aflagrandi 39, 107"
64233,0,1000847,107.0,Aflagrandi,Aflagranda,4.0,,POINT (355906 408511),64.14904691,-21.96158739,4,Reykjavík,"Aflagrandi 4, 107"
10388,0,1000883,107.0,Aflagrandi,Aflagranda,40.0,,POINT (355807.913636364 408411.695454545),64.14811591,-21.96350481,40,Reykjavík,"Aflagrandi 40, 107"
64382,0,1000884,107.0,Aflagrandi,Aflagranda,41.0,,POINT (355857.911363636 408400.818181818),64.14803946,-21.96246827,41,Reykjavík,"Aflagrandi 41, 107"
92227,0,1000885,107.0,Aflagrandi,Aflagranda,43.0,,POINT (355852.275 408406.727272727),64.14809004,-21.96258963,43,Reykjavík,"Aflagrandi 43, 107"
10370,0,1000848,107.0,Aflagrandi,Aflagranda,5.0,,POINT (355934.456818182 408414.184090909),64.14819138,-21.96091023,5,Reykjavík,"Aflagrandi 5, 107"
64234,0,1000849,107.0,Aflagrandi,Aflagranda,6.0,,POINT (355903.088636364 408533.815909091),64.14925012,-21.96166909,6,Reykjavík,"Aflagrandi 6, 107"
10371,0,1000850,107.0,Aflagrandi,Aflagranda,7.0,,POINT (355929.456818182 408420.456818182),64.14824548,-21.96101888,7,Reykjavík,"Aflagrandi 7, 107"
64366,0,1000851,107.0,Aflagrandi,Aflagranda,8.0,,POINT (355894.356818182 408531),64.14922122,-21.96184559,8,Reykjavík,"Aflagrandi 8, 107"
10372,0,1000852,107.0,Aflagrandi,Aflagranda,9.0,,POINT (355923.911363636 408426.911363636),64.14830098,-21.9611389,9,Reykjavík,"Aflagrandi 9, 107"
64383,0,1000895,108.0,Akraland,Akralandi,1.0,,POINT (359643.686363636 405290.595454546),64.12173966,-21.88185876,1,Reykjavík,"Akraland 1, 108"
10389,0,1000896,108.0,Akraland,Akralandi,3.0,,POINT (359608.202272727 405300.854545455),64.12181708,-21.88259592,3,Reykjavík,"Akraland 3, 108"
64384,0,1000898,109.0,Akrasel,Akraseli,1.0,,POINT (361787 403092),64.10290758,-21.83588708,1,Reykjavík,"Akrasel 1, 109"
91716,0,1000907,109.0,Akrasel,Akraseli,10.0,,POINT (361656.920454545 403066.038636364),64.1026226,-21.8385286,10,Reykjavík,"Akrasel 10, 109"
10552,0,1000908,109.0,Akrasel,Akraseli,11.0,,POINT (361706 403046.184090909),64.10246444,-21.83750466,11,Reykjavík,"Akrasel 11, 109"
10553,0,1000909,109.0,Akrasel,Akraseli,12.0,,POINT (361630.815909091 403051.513636364),64.10248193,-21.83905012,12,Reykjavík,"Akrasel 12, 109"
10554,0,1000910,109.0,Akrasel,Akraseli,13.0,,POINT (361725 403018),64.10221953,-21.83708941,13,Reykjavík,"Akrasel 13, 109"
10555,0,1000911,109.0,Akrasel,Akraseli,14.0,,POINT (361609 403037),64.10234309,-21.83948377,14,Reykjavík,"Akrasel 14, 109"
10556,0,1000912,109.0,Akrasel,Akraseli,15.0,,POINT (361695 403002),64.10206408,-21.83768939,15,Reykjavík,"Akrasel 15, 109"
10557,0,1000913,109.0,Akrasel,Akraseli,16.0,,POINT (361582 403022),64.1021978,-21.84002319,16,Reykjavík,"Akrasel 16, 109"
10558,0,1000914,109.0,Akrasel,Akraseli,17.0,,POINT (361677 403034),64.10234358,-21.83808767,17,Reykjavík,"Akrasel 17, 109"
10559,0,1000915,109.0,Akrasel,Akraseli,18.0,,POINT (361544.406818182 403000.552272727),64.10199046,-21.84077371,18,Reykjavík,"Akrasel 18, 109"
10560,0,1000916,109.0,Akrasel,Akraseli,19.0,,POINT (361649 403020),64.10220686,-21.8386485,19,Reykjavík,"Akrasel 19, 109"
10390,0,1000899,109.0,Akrasel,Akraseli,2.0,,POINT (361770 403126),64.10320542,-21.8362667,2,Reykjavík,"Akrasel 2, 109"
10561,0,1000917,109.0,Akrasel,Akraseli,20.0,,POINT (361521.670454545 402994.184090909),64.10192423,-21.84123371,20,Reykjavík,"Akrasel 20, 109"
64568,0,1000918,109.0,Akrasel,Akraseli,21.0,,POINT (361662 402985),64.10189846,-21.83834991,21,Reykjavík,"Akrasel 21, 109"
10562,0,1000919,109.0,Akrasel,Akraseli,22.0,,POINT (361508 402973),64.10172889,-21.84149429,22,Reykjavík,"Akrasel 22, 109"
64569,0,1000920,109.0,Akrasel,Akraseli,23.0,,POINT (361639.815909091 402970.777272727),64.10176208,-21.83879137,23,Reykjavík,"Akrasel 23, 109"
10563,0,1000921,109.0,Akrasel,Akraseli,24.0,,POINT (361496.736363636 402946.513636364),64.10148701,-21.84170067,24,Reykjavík,"Akrasel 24, 109"
64570,0,1000922,109.0,Akrasel,Akraseli,25.0,,POINT (361616 403004),64.10205019,-21.83930994,25,Reykjavík,"Akrasel 25, 109"
10564,0,1000923,109.0,Akrasel,Akraseli,26.0,,POINT (361493.736363636 402919.815909091),64.10124657,-21.84173753,26,Reykjavík,"Akrasel 26, 109"
10565,0,1000924,109.0,Akrasel,Akraseli,27.0,,POINT (361596 402991),64.10192565,-21.83970777,27,Reykjavík,"Akrasel 27, 109"
64571,0,1000925,109.0,Akrasel,Akraseli,28.0,,POINT (361495 402893),64.10100678,-21.84168693,28,Reykjavík,"Akrasel 28, 109"
10566,0,1000926,109.0,Akrasel,Akraseli,29.0,,POINT (361572 402976),64.10178157,-21.84018571,29,Reykjavík,"Akrasel 29, 109"
10391,0,1000900,109.0,Akrasel,Akraseli,3.0,,POINT (361801 403061),64.10263543,-21.8355717,3,Reykjavík,"Akrasel 3, 109"
64572,0,1000927,109.0,Akrasel,Akraseli,30.0,,POINT (361507 402872),64.10082344,-21.84142171,30,Reykjavík,"Akrasel 30, 109"
107772,0,1000928,109.0,Akrasel,Akraseli,31.0,,POINT (361587.631818182 402943.593181818),64.10149747,-21.83983557,31,Reykjavík,"Akrasel 31, 109"
64573,0,1000929,109.0,Akrasel,Akraseli,32.0,,POINT (361527 402843),64.10057163,-21.8409852,32,Reykjavík,"Akrasel 32, 109"
10567,0,1000930,109.0,Akrasel,Akraseli,33.0,,POINT (361560 402927),64.10133765,-21.84038645,33,Reykjavík,"Akrasel 33, 109"
64574,0,1000931,109.0,Akrasel,Akraseli,34.0,,POINT (361538.593181818 402825.329545455),64.10041796,-21.84073139,34,Reykjavík,"Akrasel 34, 109"
10568,0,1000932,109.0,Akrasel,Akraseli,35.0,,POINT (361548 402955),64.10158372,-21.84065812,35,Reykjavík,"Akrasel 35, 109"
64575,0,1000933,109.0,Akrasel,Akraseli,37.0,,POINT (361532 402920),64.10126364,-21.8409537,37,Reykjavík,"Akrasel 37, 109"
10569,0,1000934,109.0,Akrasel,Akraseli,39.0,,POINT (361554 402888),64.10098575,-21.84047346,39,Reykjavík,"Akrasel 39, 109"
10546,0,1000901,109.0,Akrasel,Akraseli,4.0,,POINT (361738.736363636 403109.777272727),64.10304747,-21.8368924,4,Reykjavík,"Akrasel 4, 109"
10547,0,1000902,109.0,Akrasel,Akraseli,5.0,,POINT (361773 403045),64.10248079,-21.83613072,5,Reykjavík,"Akrasel 5, 109"
10548,0,1000903,109.0,Akrasel,Akraseli,6.0,,POINT (361717 403105),64.10299591,-21.83733339,6,Reykjavík,"Akrasel 6, 109"
10549,0,1000904,109.0,Akrasel,Akraseli,7.0,,POINT (361753 403077.961363636),64.10276811,-21.83657085,7,Reykjavík,"Akrasel 7, 109"
10550,0,1000905,109.0,Akrasel,Akraseli,8.0,,POINT (361677 403081),64.10276475,-21.83813093,8,Reykjavík,"Akrasel 8, 109"
10551,0,1000906,109.0,Akrasel,Akraseli,9.0,,POINT (361732 403063),64.10262559,-21.83698739,9,Reykjavík,"Akrasel 9, 109"
64576,0,1000936,108.0,Akurgerði,Akurgerði,1.0,,POINT (360045 406022),64.12845739,-21.87431251,1,Reykjavík,"Akurgerði 1, 108"
64450,0,1000945,108.0,Akurgerði,Akurgerði,10.0,,POINT (359987.484090909 405996.056818182),64.12820147,-21.87546789,10,Reykjavík,"Akurgerði 10, 108"
12296,0,1000946,108.0,Akurgerði,Akurgerði,11.0,,POINT (360012.056818182 405961.113636364),64.12789837,-21.87493131,11,Reykjavík,"Akurgerði 11, 108"
64451,0,1000947,108.0,Akurgerði,Akurgerði,12.0,,POINT (359982.686363636 406000.484090909),64.12823918,-21.87557042,12,Reykjavík,"Akurgerði 12, 108"
12446,0,1000948,108.0,Akurgerði,Akurgerði,13.0,,POINT (360017.686363636 405955.427272727),64.12784971,-21.87481055,13,Reykjavík,"Akurgerði 13, 108"
12447,0,1000949,108.0,Akurgerði,Akurgerði,14.0,,POINT (359974 406011),64.12832987,-21.87575838,14,Reykjavík,"Akurgerði 14, 108"
12448,0,1000950,108.0,Akurgerði,Akurgerði,15.0,,POINT (360029 405946),64.12776985,-21.87456973,15,Reykjavík,"Akurgerði 15, 108"
12449,0,1000951,108.0,Akurgerði,Akurgerði,16.0,,POINT (359968 406016),64.12837223,-21.8758861,16,Reykjavík,"Akurgerði 16, 108"
8835,0,1000989,108.0,Akurgerði,Akurgerði,17.0,,POINT (360061 405949),64.12780978,-21.87391625,17A,Reykjavík,"Akurgerði 17, 108"
12451,0,1000953,108.0,Akurgerði,Akurgerði,18.0,,POINT (359977 405964),64.12790994,-21.87565298,18,Reykjavík,"Akurgerði 18, 108"
12452,0,1000954,108.0,Akurgerði,Akurgerði,19.0,,POINT (360000 405929),64.12760569,-21.87514861,19,Reykjavík,"Akurgerði 19, 108"
10570,0,1000937,108.0,Akurgerði,Akurgerði,2.0,,POINT (360000 406028),64.12849281,-21.87524102,2,Reykjavík,"Akurgerði 2, 108"
12453,0,1000955,108.0,Akurgerði,Akurgerði,20.0,,POINT (359971 405969),64.1279523,-21.8757807,20,Reykjavík,"Akurgerði 20, 108"
12454,0,1000956,108.0,Akurgerði,Akurgerði,21.0,,POINT (360006 405924),64.12756334,-21.87502089,21,Reykjavík,"Akurgerði 21, 108"
12455,0,1000957,108.0,Akurgerði,Akurgerði,22.0,,POINT (359960.572727273 405978.629545455),64.12803433,-21.87600354,22,Reykjavík,"Akurgerði 22, 108"
12456,0,1000958,108.0,Akurgerði,Akurgerði,23.0,,POINT (360016 405913),64.12746885,-21.87480554,23,Reykjavík,"Akurgerði 23, 108"
12457,0,1000959,108.0,Akurgerði,Akurgerði,24.0,,POINT (359956 405984),64.12808059,-21.87610233,24,Reykjavík,"Akurgerði 24, 108"
12458,0,1000960,108.0,Akurgerði,Akurgerði,25.0,,POINT (360022 405907),64.12741753,-21.87467689,25,Reykjavík,"Akurgerði 25, 108"
12459,0,1000961,108.0,Akurgerði,Akurgerði,26.0,,POINT (359964 405931),64.12760893,-21.87588878,26,Reykjavík,"Akurgerði 26, 108"
12460,0,1000962,108.0,Akurgerði,Akurgerði,27.0,,POINT (359985 405895),64.12729491,-21.8754245,27,Reykjavík,"Akurgerði 27, 108"
12461,0,1000963,108.0,Akurgerði,Akurgerði,28.0,,POINT (359960 405937),64.12766107,-21.87597642,28,Reykjavík,"Akurgerði 28, 108"
64769,0,1000964,108.0,Akurgerði,Akurgerði,29.0,,POINT (359992 405888),64.12723504,-21.87527441,29,Reykjavík,"Akurgerði 29, 108"
64577,0,1000938,108.0,Akurgerði,Akurgerði,3.0,,POINT (360040 406011),64.12835679,-21.87440479,3,Reykjavík,"Akurgerði 3, 108"
12462,0,1000965,108.0,Akurgerði,Akurgerði,30.0,,POINT (359950 405946),64.12773763,-21.8761899,30,Reykjavík,"Akurgerði 30, 108"
64770,0,1000966,108.0,Akurgerði,Akurgerði,31.0,,POINT (360004 405881),64.12717721,-21.87502177,31,Reykjavík,"Akurgerði 31, 108"
12463,0,1000967,108.0,Akurgerði,Akurgerði,32.0,,POINT (359944.886363636 405950.943181818),64.12777984,-21.87629939,32,Reykjavík,"Akurgerði 32, 108"
12464,0,1000968,108.0,Akurgerði,Akurgerði,33.0,,POINT (360011 405875),64.1271263,-21.87487262,33,Reykjavík,"Akurgerði 33, 108"
64771,0,1000969,108.0,Akurgerði,Akurgerði,34.0,,POINT (359953 405900),64.12732666,-21.87608543,34,Reykjavík,"Akurgerði 34, 108"
12465,0,1000970,108.0,Akurgerði,Akurgerði,35.0,,POINT (359977 405863),64.12700491,-21.87555869,35,Reykjavík,"Akurgerði 35, 108"
64772,0,1000971,108.0,Akurgerði,Akurgerði,36.0,,POINT (359947.943181818 405904.370454546),64.12736376,-21.87619322,36,Reykjavík,"Akurgerði 36, 108"
12466,0,1000972,108.0,Akurgerði,Akurgerði,37.0,,POINT (359982 405858),64.12696214,-21.87545148,37,Reykjavík,"Akurgerði 37, 108"
64773,0,1000973,108.0,Akurgerði,Akurgerði,38.0,,POINT (359938 405914),64.12744599,-21.87640613,38,Reykjavík,"Akurgerði 38, 108"
12467,0,1000974,108.0,Akurgerði,Akurgerði,39.0,,POINT (359993 405849),64.12688598,-21.8752175,39,Reykjavík,"Akurgerði 39, 108"
12292,0,1000939,108.0,Akurgerði,Akurgerði,4.0,,POINT (359995.740909091 406033.686363636),64.12854202,-21.87533367,4,Reykjavík,"Akurgerði 4, 108"
64774,0,1000975,108.0,Akurgerði,Akurgerði,40.0,,POINT (359933 405919),64.12748876,-21.87651334,40,Reykjavík,"Akurgerði 40, 108"
12468,0,1000976,108.0,Akurgerði,Akurgerði,41.0,,POINT (359999 405844),64.12684362,-21.87508978,41,Reykjavík,"Akurgerði 41, 108"
64775,0,1000977,108.0,Akurgerði,Akurgerði,42.0,,POINT (359942 405867),64.12702647,-21.87628021,42,Reykjavík,"Akurgerði 42, 108"
93483,0,1000978,108.0,Akurgerði,Akurgerði,44.0,,POINT (359935.943181818 405871.740909091),64.12706648,-21.87640885,44,Reykjavík,"Akurgerði 44, 108"
64776,0,1000979,108.0,Akurgerði,Akurgerði,46.0,,POINT (359926 405882),64.12715435,-21.87662234,46,Reykjavík,"Akurgerði 46, 108"
12469,0,1000980,108.0,Akurgerði,Akurgerði,48.0,,POINT (359921 405887),64.12719712,-21.87672955,48,Reykjavík,"Akurgerði 48, 108"
64448,0,1000940,108.0,Akurgerði,Akurgerði,5.0,,POINT (360036 406001),64.12826555,-21.87447749,5,Reykjavík,"Akurgerði 5, 108"
64777,0,1000981,108.0,Akurgerði,Akurgerði,50.0,,POINT (359930.056818182 405835),64.12673486,-21.87649526,50,Reykjavík,"Akurgerði 50, 108"
12470,0,1000982,108.0,Akurgerði,Akurgerði,52.0,,POINT (359925 405839),64.12676863,-21.8766027,52,Reykjavík,"Akurgerði 52, 108"
64778,0,1000983,108.0,Akurgerði,Akurgerði,54.0,,POINT (359913 405849),64.12685335,-21.87685813,54,Reykjavík,"Akurgerði 54, 108"
12471,0,1000984,108.0,Akurgerði,Akurgerði,56.0,,POINT (359909 405855),64.12690548,-21.87694576,56,Reykjavík,"Akurgerði 56, 108"
64779,0,1000985,108.0,Akurgerði,Akurgerði,58.0,,POINT (359920 405802),64.12643505,-21.87667068,58,Reykjavík,"Akurgerði 58, 108"
12293,0,1000941,108.0,Akurgerði,Akurgerði,6.0,,POINT (359986 406044),64.12863047,-21.87554308,6,Reykjavík,"Akurgerði 6, 108"
12472,0,1000986,108.0,Akurgerði,Akurgerði,60.0,,POINT (359913 405808),64.12648596,-21.87681984,60,Reykjavík,"Akurgerði 60, 108"
64780,0,1000987,108.0,Akurgerði,Akurgerði,62.0,,POINT (359904 405817),64.12656293,-21.87701281,62,Reykjavík,"Akurgerði 62, 108"
12473,0,1000988,108.0,Akurgerði,Akurgerði,64.0,,POINT (359898.686363636 405822.056818182),64.12660607,-21.87712651,64,Reykjavík,"Akurgerði 64, 108"
12294,0,1000942,108.0,Akurgerði,Akurgerði,7.0,,POINT (360033 405990),64.12816576,-21.87452875,7,Reykjavík,"Akurgerði 7, 108"
64449,0,1000943,108.0,Akurgerði,Akurgerði,8.0,,POINT (359981 406049),64.12867323,-21.87565029,8,Reykjavík,"Akurgerði 8, 108"
12295,0,1000944,108.0,Akurgerði,Akurgerði,9.0,,POINT (360030 405979),64.12806596,-21.87458001,9,Reykjavík,"Akurgerði 9, 108"
89047,0,1135116,161.0,Almannadalur,Almannadal,1.0,,POINT (366248 402467),64.09907218,-21.74391581,1A,Reykjavík,"Almannadalur 1, 161"
57768,0,1133459,161.0,Almannadalur,Almannadal,11.0,5.0,POINT (366402.134090909 402489.252272727),64.09933155,-21.7407775,11,Reykjavík,"Almannadalur 11, 161"
90083,0,1124187,161.0,Almannadalur,Almannadal,13.0,1.0,POINT (366414.256818182 402512.365909091),64.0995434,-21.74054966,13,Reykjavík,"Almannadalur 13, 161"
93628,0,1133460,161.0,Almannadalur,Almannadal,15.0,1.0,POINT (366379.645454545 402538.265909091),64.09976205,-21.74128186,15,Reykjavík,"Almannadalur 15, 161"
